nome;unidade;
FILEZINHO TEMPERADO 1kg SEARA;UN;
INGREDIENTES PARA FEIJOADA 1kg SEARA;UN;
MAMONA KG;KG;
AQUILEIA KG;KG;
FIESTA DESOSSADO SEARA KG;KG;
TENDER BOLINHA SUINO SEARA KG;KG;
MALTODEXTRIN LIMA LIMAO 1Kg ATHLETICA;UN;
MALTODEXTRIN LARANJA C/ACEROLA 1Kg ATHLETICA;UN;
SINISTER MASS 3kg VITAMINA DE FRUTAS INTEGRAL MEDICA;UN;
NIM INDIANO KG;KG;
HI BLEND PROTEIN SABOR CHOC 1,8kg LEADER NUTRIT;UN;
GORGONZOLA TIROLEZ KG;KG;
FECULA DE ARARUTA KG;KG;
RONDELLI DUETO PRESUNTO/MUSSARELA 1KG DONA ANA;UN;
RONDELLI DUETO 4 QUEIJOS 1KG DONA ANA;UN;
RONDELLI DUETO FRANGO/REQUEIJAO 1KG DONA ANA;UN;
GINKGO BILOBA EM PO KG;KG;
ADOCANTE USE METADE DIET 1KG PALAZZO;UN;
QUEIJO MINAS FRESCAL KG;KG;
SEMENTE DE PAPOULA KG;KG;
SEMENTE DE PAPOULA KG;KG;
AMORA KG;KG;
PALMIER CANELA KG;KG;
SEMENTE DE PAPOULA KG;KG;
CLINICMAIS GINKGO BILOBA 60CAPS 500MG;UN;
GOTAS MOEDAS 1.05 CHOCOLATE KG;KG;
ALHO PO KG;KG;
COLAGENO HIDROLISADO RAIZEIRO KG;KG;
MILHO MEL/MOSTARDA KG RAIZEIRO;KG;
DAMASCO DOCE KG RAIZEIRO;KG;
XEREM A KG RAIZEIRO;KG;
ACUCAR DEMERARA KG;KG;
MIX DE FRUTAS KG;KG;
PGRAO DE BICO MERX KG;KG;
CIPO CRUZ KG;KG;
FOLHA DE GOIABA KG;KG;
TRIBULLUS TERRESTRE KG;KG;
GRANOLA SALGADA KG;KG;
TEMPERO EDU GUEDES KG;KG;
SAL MARINHO FINO 1kg SPICES;UN;
ALHO CEBOLA E SALSA KG;KG;
MACADAMIA S/ SAL KG;KG;
SALSINHA DESIDRATADA KG;KG;
PIMENTA CAYENA EM PO KG;KG;
CURCUMA EM PO PURA KG;KG;
CHIMICHURRI S/PIMEN KG;KG;
CHIMICHURRI C/PIM RAIZEIRO KG;KG;
SAL HIMALAIA FINO KG;KG;
CHIMICHURRI KG;KG;
PIMENTA DESIDRATADA KG;KG;
PIMENTA CALABRESA EM PO KG;KG;
TEMPERO SIRIO KG;KG;
TAMARA SALOMAO C/CAR KG;KG;
SAL NEGRO DO HIMALAIA GROSSO KG;KG;
PIMENTA PRETA EM PO KG;KG;
PIMENTA PRETA EM GRAO KG;KG;
PIMENTA BRANCA EM PÓ KG;KG;
PIMENTA BRANCA GRAO KG;KG;
CHIMICHURRI DEFUMADO KG;KG;
PIMENTA SIRIA GRAO KG (JAMAICA) KG;KG;
ANA MARIA TEMPERO KG;KG;
TEMPERO PEGA MARIDO KG;KG;
SOJA TORRADA SALSA CEBOLA KG;KG;
TEMPERO PARA FALAFEL KG;KG;
SAL DE PARRILLA C/ ERVAS FINAS KG;KG;
SAL MARINHO MOIDO KG;KG;
TEMPERO TOCINO MIX KG;KG;
PIMENTA BIQUINHO KG;KG;
AZEITONA VERDE CONS RECH c/ PIMENTAO KG;KG;
FLOR DE SAL KG;KG;
SAL MARINHO 1kg VITAO;UN;
PISTACHE TORR SALG C/CASCA KG PISTACHIO WITH SHELL TOASTED AND SALTED;KG;
TEMPERO MINEIRO EM FLOCOS KG;KG;
TEMPERO FIT KG;KG;
PEPITA ABOBORA TORRADA C/SAL KG;KG;
AZEITONA VERDE CONS RECH c/ PIMENTAO BALDE 2Kg DON PEPE;KG;
PIMENTA BRANCA GRANULADA KG;KG;
TEMPERO VEGETABLE MASALA KG;KG;
GRAO DE BICO TORR SALG KG;KG;
TEMPERO SUMAC PÓ KG;KG;
BANANA CHIPS COM SAL KG;KG;
SAL NEGRO DO HIMALAIA FINO KG;KG;
PIMENTA PRETA GRANULADA KG;KG;
TEMPERO TANDOORI CHICKEN MASALA KG;KG;
SALVIA FLOCOS KG;KG;
TEMPERO RAJMA MASALA KG;KG;
CURCUMA RAIZ KG;KG;
PIMENTA ROSA KG;KG;
SALVIA EM PO KG;KG;
PISTACHE TORR SALG C/CASCA KG;KG;
SEM. ABOBORA C/SAL TORR KG;KG;
PEPITA DE GIRASSOL TORRADA C/SAL KG;KG;
ALHO CEBOLA BACON SALSA E TOMATE KG;KG;
TEMPERO PARA FEIJAO KG;KG;
MILHO TORRADO E SALGADO KG;KG;
SAL MARINHO GROSSO KG;KG;
SAL PARRILLA CHURRASCO BR SPICES 1.1KG;UN;
SAL PARRILLA CHUR P.REINO BR SPICES 1.04KG;UN;
SAL PARRILLA CHURRASCO C/CHIMIC BR SPICES 1.01KG;UN;
SAL PARRILLA CHURRASCO C/ALHO BR SPICES 1.015KG;UN;
SAL AMARGO SULFATO DE MAGNESIO KG;KG;
SAL MARINHO GROSSO 1KG SMART;UN;
MIX DE PIMENTA EM GRÃO KG;KG;
SOJA TORRADA COM SAL KG;KG;
SAL ROSA FINO 1KG BR  SPICES;UN;
SAL DE CURA Tipo2 - Kg;KG;
SAL DE CURA Tipo1 - Kg;KG;
BOLACHA ARROZ PIMENTA KG;KG;
TEMPERO BAIANO C/ PIMENTA RAIZEIRO KG;KG;
MASSALA REGIME VICTORIA KG;KG;
MASSALA DOCE VICTORIA KG;KG;
TEMPERO EDU GUEDES RAIZEIRO KG;KG;
TEMPERO EDU GUEDES FIT KG;KG;
CURCUMA CONDIM MOIDA KG;KG;
PIMENTA CHIPOTLE CONDIM MOIDA KG;KG;
SALAMINHO ITALIANO KG;KG;
SALAME AZEITONA DEFUMADO KG;KG;
SALAME LIMAO NOBRE DEFUMADO KG;KG;
SALSA PARRILHA KG;KG;
SALVIA IMPORTADA KG;KG;
SOPA CREME DE AIPO SALSAO KG;KG;
TEA MASALA KG;KG;
TEMPERO KING MASALA KG;KG;
TEMPERO BARBECUE SPICE MIX KG;KG;
TEMPERO FIVE SPICES POWDER KG;KG;
TEMPERO MENUDO MIX KG;KG;
TEMPERO FAJITA POWDER MIX KG;KG;
SAL DO HIMALAIA GROSSO KG;KG;
TEMPERO KARE KARE KG;KG;
TEMPERO VEGETA MIX KG;KG;
TEMPERO TANDOORI MASALA KG;KG;
TEMPERO SABJI MASALA KG;KG;
TEMPERO RASAM KG;KG;
TEMPERO MAGIC SARAP MIX KG;KG;
TEMPERO MUTTON MASALA KG;KG;
TEMPERO MIX MASALA KG;KG;
TEMPERO MASALA KORMA KG;KG;
TEMPERO KITCHEN KING MASALA KG;KG;
TEMPERO JAL JEERA MASALA KG;KG;
TEMPERO FISH MASALA KG;KG;
TEMPERO CURRY FISH MASALA KG;KG;
TEMPERO CHOLE MASALA KG;KG;
TEMPERO CHAAT MASALA KG;KG;
TEMPERO CALDERETA MIX KG;KG;
TEMPERO CAJUN SPICE KG;KG;
TEMPERO BIRYANI CHICKEN MASALA KG;KG;
TEMPERO AFRITADA MIX KG;KG;
TEMPERO TIKKA CHICKEN MASALA KG;KG;
TEMPERO SINIGANG MIX KG;KG;
TEMPERO SAMBAR MASALA KG;KG;
TEMPERO PAV BHAJI MASALA KG;KG;
TEMPERO NIHARI MASALA KG;KG;
TEMPERO MEAT MASALA KG;KG;
TEMPERO GARAM MASALA KG;KG;
TEMPERO CURRY MEAT KG;KG;
TEMPERO CHICKEN MASALA KG;KG;
TEMPERO CHANA MASALA KG;KG;
TEMPERO BIRYANI MASALA KG;KG;
TEMPERO LUJAT MASALA POWDER KG;KG;
TEMPERO ADOBO MIX KG;KG;
TEMPERO PALABOK KG;KG;
BISCOITO DE LINHACA LIMAO E PIMENTA KG;KG;
SALAME PERDIGAO KG;KG;
SALAME SADIA KG;KG;
SALAME SEARA KG;KG;
SALAME AURORA KG;KG;
QUEIJO RICOTA C/SAL CURRAL DE MINAS KG;KG;
SALGADO GALETO KG;KG;
SALGADO DE BACON KG;KG;
SALGADO DE QUEIJO KG;KG;
TEMPERO GAUCHO KG;KG;
TEMPERO DA ESPOSA KG;KG;
TEMPERO PEGA ESPOSA KG;KG;
SAL MOIDO IODADO 1kg NATURAL LIFE;UN;
BATATA CEBOLA/SALSA KG;KG;
PIMENTA CHILLI PO KG;KG;
TEMPERO DRY RUB KG;KG;
BACALHAU LOMBO DESSALGADO KG;KG;
SALMÃO KG;KG;
SAL MARINHO MOIDO 1KG SMART;UN;
PISTACHE C/CASCA TORR SALG CRISTALIZADO KG;KG;
SAL REFINADO C/ LIMAO KG;KG;
PERI PERI RED CHILLI MASALA POWDER KG;KG;
TEMPERO FLAVOR SEASONING MIX KG;KG;
PIMENTAO VERDE FLOCOS KG;KG;
ACIDO CITRICO KG CITRIC ACID (SOUR SALT);KG;
TORRADA CHIMICHURRI S/PIMENTA KG;KG;
SALGUEIRO FOLHA KG;KG;
SALGUEIRO RASURADO KG;KG;
TORRADA DE ALHO/CEBOLA/SALSA KG;KG;
COMINHO COM PIMENTA EM PO KG;KG;
SAL GROSSO C/ ALHO GRANULADO KG;KG;
MIX INGREDIENTES SALGADOS 1,5kg SEARA;UN;
BACALHAU LOMBO SALG KG;KG;
TEMPERO MIX C/ PIMENTA KG;KG;
TEA MASALA KG;KG;
SAL ATLANTIS MOIDO INT 1kg JASMINE;UN;
TEMPERO BAIANO S/ PIMENTA RAIZEIRO KG;KG;
BACALHAU SALGADO FILE PEDACOS 1KG BACALANOR;UN;
BACALHAU SALGADO FILE PEDACOS 1KG BACALANOR;UN;
MILHO TOR/SALG KG RAIZEIRO;KG;
PISTACHE C/SAL C/CAS KG RAIZEIRO;KG;
TEMPERO CURRY MEAT KG;KG;
LIMAO ERVAS FINAS KG;KG;
HIBISCO EM PO KG;KG;
ERVA DOCE TURCA KG;KG;
BOLDO DO CHILE KG;KG;
FLOR DE CAMOMILA KG;KG;
FLOR DE HIBISCO KG;KG;
SOJA TORRADA ERVAS FINAS KG;KG;
ERVAS FINAS KG;KG;
AZEITONA PRETA S/C CONSERVA KG;KG;
AZEITONA PRETA PORTUGUESA CONSERVA KG;KG;
AZEITONA VERDE GORDAL CONSERVA KG;KG;
AZEITONA VERDE S/CAROC CONSERVA KG;KG;
COGUMELO INTEIRO CONSERVA KG;KG;
AZEITONA PRETA AZAPA CONSERVA KG;KG;
AZEITONA VERDE FATIADA CONSERVA KG;KG;
COGUMELO FATIADO CONSERVA KG;KG;
ERVA MATE CHIMARRAO 1KG PORTO VITORIA;UN;
TRINTA ERVAS KG;KG;
AZEITONA VERDE EXTRA GRAUDA CONSERVA KG;KG;
ERVA MATE NATURAL KG;KG;
ANIL ERVAS KG;KG;
ERVA DE SAO JOAO KG;KG;
ERVA TOSTAO KG;KG;
ERVA DE BICHO KG;KG;
ERVA DE PASSARINHO KG;KG;
GERVAO KG;KG;
ERVA CIDREIRA KG;KG;
ERVA BALEEIRA KG;KG;
PALMITO EM CONSERVA TOLETE KG;KG;
PALMITO EM CONSERVA PICADO KG;KG;
ERVA MATE ORGANICA 1KG BARAO;UN;
ERVA SANTA MARIA KG;KG;
ERVA COMIGO NINGUEM PODE KG;KG;
MINI MILHO EM CONSERVA DON PEPE KG;KG;
ERVA MATE GROSSA KG;KG;
ERVA MATE PREMIUM 1kg BARAO;UN;
ERVA MATE MOIDA GROSSA 1kg BARAO;UN;
ERVA BOTAO KG;KG;
AZEITONA PRETA S/C AZAPA CONSERVA KG;KG;
MINI MILHO EM CONSERVA 2KG DON PEPE CANNED CORN BABY (YOUNG CORN) IN PAIL;KG;
ERVA JAVA KG;KG;
ERVA MATE TRAD A VACUO 1kg BARAO;UN;
ERVA MATE TERERE KG;KG;
ERVA MATE FINA KG;KG;
CEBOLINHA CONSERVA KG;KG;
7 ERVAS KG;KG;
CAST CAJU BANDA TOR S/SAL KG;KG;
XEREM DE AMENDOIM KG;KG;
AMENDOIM C/CASCA CRU KG;KG;
AMENDOIM CRU VERM C/PELE KG;KG;
AMENDOA CONFEITADA COLORIDA KG;KG;
NOZES QUARTILHOS KG;KG;
NOZES QUARTZ EXTRA KG;KG;
BOMBOM RECH AMENDOIM KG;KG;
CAST CAJU W3 TOR S/SAL KG;KG;
AMENDOIM CROC SALSA CEBOLA KG;KG;
AMENDOIM CROCANTE PIMENTA KG;KG;
AMENDOIM CROCANTE KG;KG;
COOKIES CASTANHA KG;KG;
AMENDOIM JAPONES KG;KG;
AMENDOIM DOCE PRALINE KG;KG;
CAST DO PARA QUEBRADA KG;KG;
CASTANHA DO PARA MEDIA KG;KG;
PASTA DE AMENDOIM CHOC/AVELA 1.005kg POWER ONE;UN;
PASTA DE AMENDOIM CROCANTE 1,005kg POWER 1ONE;UN;
PASTA DE AMENDOIM TRAD 1,005kg POWER 1ONE;UN;
NOZ MOSCADA FECULADA KG;KG;
CAST CAJU CARAM GERG KG;KG;
CAST DE CAJU JUMBO TOR S/SAL SLW1 KG;KG;
AMENDOA CRUA S/CASCA KG;KG;
NOZES PECAN AGRIDOCE KG;KG;
PASTA DE AMENDOIM COM GRANULADO 1.02KG MANDUBIM;UN;
PASTA DE AMENDOIM INTEGRAL 1.02KG MANDUBIM;UN;
AMENDOIM RUNNER CRU KG;KG;
CASTANHA DO PARA LARGE KG;KG;
CAST DE CAJU TOR S/SAL W1 KG;KG;
NOZ MOSCADA INT (Kg);KG;
NOZES C/CASCA KG;KG;
CAST DE CAJU W3 TOR SALG KG;KG;
CASTANHA PORTUGUESA KG;KG;
PASTA DE AMENDOIM SELECT 1KG;UN;
KIT AMENDOIM RAIZEIRO KG;KG;
CAST DO PARA PARTIDA KG;KG;
AMENDOA TORRADA SEM SAL KG;KG;
MIX DE CASTANHAS NUTS KG;KG;
AMENDOIM GRAUDO TORR/SALG C/PELE KG;KG;
AMENDOIM TORR S/PELE S/SAL KG;KG;
AMENDOIM COM ALHO KG;KG;
AMENDOIM SALG TORR S/PELE KG;KG;
NOZES MARIPOSA SELECIONADAS EXT KG;KG;
AMENDOAS LAMINADAS KG;KG;
CASTANHA DE BARU KG;KG;
CONFEITOS DE AMENDOA CHOCOLATE KG;KG;
PASTA DE AMENDOIM COOKIES/CREAM 1.005KG VITAPOWER;UN;
PASTA DE AMENDOIM INTEG AVELA/CACAU 1,02KG MANDUBIM;UN;
PASTA DE AMENDOIM DUO 1.02KG MANDUBIM;UN;
PASTA DE AMENDOIM C/ CHOC AMARGO 1.02KG MANDUBIM;UN;
PASTA DE AMENDOIM C/ CHOC BRANCO 1.02KG MANDUBIM;UN;
PASTA DE AMENDOIM COM CAFE 1.02KG MANDUBIM;UN;
AMENDOA DEFUMADA KG;KG;
OVINHOS DE AMENDOIM KG;KG;
NOZES PECAN KG;KG;
MIX DE CASTANHAS AGRIDOCE KG;KG;
CAST DE CAJU W4 SEM SAL KG;KG;
CAST DE CAJU W4 TORR SALG KG;KG;
CAST DE CAJU CARAMELIZA C/ COCO KG;KG;
CAST CAJU W1 CRUA KG;KG;
AMENDOIM CRU SEM PELE KG;KG;
AMENDOA TORR SALG KG;KG;
PASTA DE AMENDOIM PRESS CREAM 1.005KG VITAPOWER;UN;
PASTA DE AMENDOIM INTEG CROC 1.005KG VITAPOWER;UN;
PASTA DE AMENDOIM SHOT PROTEIN 1.005KG VITAPOWER;UN;
PASTA DE AMENDOIM INTEGRAL 1.005KG VITAPOWER;UN;
PASTA DE AMENDOIM BROWNIE CREAM 1.005KG VITAPOWER;UN;
PASTA DE AMENDOIM GRANULADA SELECT 1KG;UN;
AMENDOIM COM CASCA TORRADO RUNNER KG;KG;
CASTANHA DE BARU ASSADA E LEVEMENTE SALGADA KG;KG;
XEREM AMENDOAS KG;KG;
WAFER RECH. CAST.CAJU/CANELA COB CHOC KG;KG;
AMENDOIM TORRADO S/ SAL KG;KG;
BOMBOM COB CHOC RECH AMENDOIM KG;KG;
AMENDOIM JAPONES PICAN KG;KG;
CASTANHA DA INDIA PO KG;KG;
NOZ DE COLA KG;KG;
HI - BLEND PROTEIN AMENDOIM 1.8 KG LEADER NUTRI;UN;
CAST CAJU BANDA TOR SALG KG;KG;
MIX DE AMENDOIM COLORIDO KG;KG;
CAST DE CAJU JUMBO TOR SALG SLW1 KG;KG;
MINI WAFER RECH CASTANHA CAJU E CANELA CHOC KG;KG;
NOZ MOSCADA PO KG;KG;
MIX DE CASTANHA TRADICIONAL KG;KG;
CASTANHA DE CAJU ASSADO KG;KG;
BOLACHA AMENDOA SHOW C/ AVELA KG;KG;
CONFEITO DE AMENDOIM KG;KG;
CONFEITO DE CAST DE CAJU KG;KG;
CASTANHA DO PARA MIUDA KG;KG;
CAST DE CAJU TOR SALG W1 KG;KG;
GINKGO BILOBA+CAST DA INDIA 60CAPS 500mg 4ELEMENTOS;UN;
MIX CASTANHAS KG;KG;
CAST DA INDIA QUEBRADA KG;KG;
QUEIJO MUSSARELA NOZINHO CURRAL DE MINAS KG;KG;
NOZ MOSCADA EM PO KG NUTMEG POWDER;KG;
AMENDOIM RUNNER CRU KG PEANUTS RAW WITHOUT SHELL;KG;
CAST CAJU W1 CRUA KG CASHEW NUTS RAW;KG;
CAST DE CAJU W3 S/SAL KG;KG;
CREME DE AMENDOIM CHOC BRANCO 1.005kg POWER ONE;UN;
MIX DE AMENDOIM KG;KG;
CASTANHA DE CAJU COM SAL W3 KG;KG;
CASTANHA PARA GRAUDA KG;KG;
AMENDOA LAMINADA KG;KG;
CASTANHA DO PARA LARGE RAIZEIRO KG;KG;
AMENDOIM OVINHOS RAIZEIRO KG;KG;
CASTANHA PARA KG;KG;
