nome;unidade;
GRANOLA ZERO ACUCAR KG;KG;
GRANOLA COM FRUTAS KG;KG;
TRIGO SARRACENO GRAO CASCA KG;KG;
GRANOLA OVOMALTINE C/CHOCOLATE KG;KG;
FENO GREGO EM GRAO KG;KG;
FEIJAO MONGO MOYASHI KG;KG;
FEIJAO CARIOCA KG;KG;
FAVA RAJADA KG;KG;
AVELA  CRUA S/CASCA KG;KG;
BARRA MOZZARELA BUFALA LANCHE VABENE KG;KG;
QUEIJO MINAS FRESCAL VA BENE KG;KG;
QUEIJO COALHO DE BUFALA VABENE KG;KG;
SHITAKE COGUMELO SECO KG;KG;
MALTO DEXTRINA KG;KG;
GLUTEN DE TRIGO KG;KG;
ALHO GRANULADO DESIDRATADO KG;KG;
ACUCAR DE MACA KG;KG;
QUEIJO MUSSARELA BUFALA EM MANTA VABENE KG;KG;
BATATA PALHA KG;KG;
CONFEITO MM MINI KG;KG;
JATOBA RAZURADO KG;KG;
ARROZ POLIDO ORGANIC A VACUO 1KG;UN;
ACUCAR DEMERARA ORGANICO 1KG;UN;
ACUCAR CRISTAL ORGANICO 1KG;UN;
CHOC EM MOEDAS AO LEITE KG;KG;
MAMAO CRISTALIZADO KG;KG;
QUITOCO KG;KG;
ERVILHA GRAO KG;KG;
BISCOITO LINHACA BANANA E CHOCOLATE KG;KG;
SAZON SABOR AVES KG;KG;
CALDO KNORR SABOR GALINHA KG;KG;
CHOCOLATE GRANULADO ROSA KG;KG;
CHOCOLATE GRANULADO AMARELO KG;KG;
CALDO KNORR CARNE KG;KG;
MACARRAO PARAFUSO INTEGRAL COM ESPINAFRE KG;KG;
MACARRAO PARAFUSO INTEGRAL COM BATATA DOCE KG;KG;
MACARRAO PARAFUSO INTEGRAL COM BETERRABA KG;KG;
MACARRAO MACARONI INTEGRAL KG;KG;
MACARRAO ESPAGUETE INTEGRAL KG;KG;
MACARRAO INTEGRAL PENNE KG;KG;
PROTEINA CONC DE ARROZ 80% KG;KG;
FEIJAO MANTEIGA KG;KG;
FLOCOS DE ARROZ BOLINHA KG;KG;
ALBUMINA PROTEIN KG;KG;
